task_id,phase,code_path,objective,evidence_target,prerequisites,status,run_id,raw_output,derived_output,certificate,notes
G-01,G,geometry/validate_distance_identity.py,Verify the exact hyperbolic twist displacement law directly from independent coordinate calculations.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/distance_identity.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/distance_identity_residuals.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g01_distance_identity.json,
G-02,G,geometry/moire_length_inversion.py,Solve the registry-threshold equation numerically.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/moire_length.zarr,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/moire_length_errors.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g02_moire_length.json,
G-03,G,geometry/effective_area.py,Compute the hyperbolic registry area numerically and analytically.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/effective_area.zarr,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/effective_area_errors.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g03_effective_area.json,
G-04,G,geometry/crossover_collapse.py,Validate:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/crossover.zarr,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/flow_residual.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g04_crossover.json,
G-05,G,geometry/double_scaling.py,Validate the simultaneous small-angle / weak-curvature scaling function.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/double_scaling.zarr,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/double_scaling_convergence.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g05_double_scaling.json,
G-06,G,geometry/dimensional_extension.py,Numerically test D-dimensional endpoint laws for several D.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/dimensional_extension.zarr,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/dimensional_endpoint_laws.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g06_dimensional_extension.json,
G-07,G,exact/euclidean_square_csl.sage,Exactly regenerate Euclidean square CSL theory.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g07_euclidean_square_csl.json,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/euclidean_square_csl_examples.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g07_euclidean_square_csl.json,
G-08,G,exact/euclidean_angle_catalog.sage,Enumerate all nontrivial square-lattice commensurate structures below 100 bilayer atoms.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g08_euclidean_angle_catalog.json,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/euclidean_angle_catalog.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g08_euclidean_angle_catalog.json,
G-09,G,exact/commensurator_sequence.sage,Construct,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g09_commensurator_sequence.json,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/commensurator_sequence.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/exact/g09_commensurator_sequence.json,
G-10,G,exact/coincidence_index_height.sage,Compute:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/coincidence_growth.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/local_factors.json,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g10_coincidence_index_height.json,
G-11,G,analysis/arithmetic_exponent.py,Compute,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/arithmetic_exponent_inputs.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/arithmetic_exponent.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g11_arithmetic_exponent.json,
G-12,G,analysis/radial_locking.py,Compute:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/raw/radial_locking.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/derived/radial_locking_extrapolation.parquet,results/5f785708371af9f1335a4e084146aa48e37b495c8f88737b551055c5cd8b3de3/certificates/g12_radial_locking.json,
G-13,G,analysis/magic_subsequence_sampling.py,Combine the independently certified positive microscopic root with the exact arithmetic sequence.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/g13_magic_subsequence_inputs.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/magic_subsequence_sampling.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/g13_magic_subsequence_sampling.json,verified hash-only predecessor reuse
G-14,G,analysis/magic_complexity.py,Compute the exact supercell complexity on the sampled magic sequence.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/g14_magic_complexity_inputs.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/magic_complexity.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/g14_magic_complexity.json,verified hash-only predecessor reuse
G-15,G,geometry/incommensurate_joint_limit.py,Numerically test the condition,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/g15_incommensurate_sequences.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/incommensurate_joint_limit.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/g15_incommensurate_joint_limit.json,verified hash-only predecessor reuse
S-01,S,spectral/square_fivestate_exact.sage,Implement the exact five-state square Hamiltonian.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/square_fivestate_exact.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/exact/s01_square_fivestate.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/exact/s01_square_fivestate.json,
S-02,S,spectral/certify_square_no_go.sage,Certify that the quadratic curvature coefficient remains positive for all alpha >= 0.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s02_square_no_go.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s02_square_no_go.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s02_square_no_go.json,
S-03,S,spectral/character_sector_root.py,For the natural surface-group model calculate the complete first-shell character-sector curvature.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/character_root.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/derived/character_root_summary.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s03_character_root.json,
S-04,S,spectral/certify_character_root.sage,Certified root existence/uniqueness.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s04_character_root.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s04_character_root.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s04_character_root.json,
S-05,S,spectral/full_kernel_schur_tail.sage,Restore the full exponential hopping kernel.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/surface_group_normal_forms.txt,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/derived/full_kernel_shells.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/schur_tail_certificate.json,
S-06,S,spectral/root_displacement.py,Compare exact/full root against first-shell root.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/root_displacement.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/root_displacement.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s06_root_displacement.json,
S-07,S,spectral/regular_operator_island.py,Compute the complete regular group-algebra spectral target.,declared_by_master_instruction,execution_order_and_scientific_gates,INCONCLUSIVE,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/spectral_island.zarr,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s07_regular_operator_island.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s07_regular_operator_island.json,
S-08,S,spectral/riesz_projector.py,Compute Riesz projectors using contour integration.,declared_by_master_instruction,execution_order_and_scientific_gates,INCONCLUSIVE,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/riesz_projector.h5,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/projector_certificate.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/projector_certificate.json,
S-09,S,hodge/compute_harmonic_basis.py,Construct the canonical genus-two Hodge tangent basis.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/hodge_basis.h5,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/hodge_metric.npy,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s09_hodge_basis.json,
S-10,S,hodge/commutant_test.sage,Compute the symmetry representation and its G-self-adjoint commutant.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_EXACT,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/exact/s10_commutant.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/exact/s10_commutant.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/exact/s10_commutant.json,
S-11,S,hodge/full_response_tensor.py,Compute the full matrices:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/hodge_tensor.zarr,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s11_hodge_tensor.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s11_hodge_tensor.json,
S-12,S,hodge/certify_complete_cancellation.sage,Certify full-tensor cancellation at the common positive coupling.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s12_complete_cancellation.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s12_complete_cancellation.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s12_complete_cancellation.json,
S-13,S,hodge/principal_hessian_spectrum.py,Compute ALL generalized principal Hessian eigenvalues.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/principal_hessian_spectrum.zarr,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s13_principal_hessian.json,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s13_principal_hessian.json,
S-14,S,hodge/symmetry_breaking_scan.py,Introduce controlled symmetry breaking.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/symmetry_breaking_scan.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/symmetry_breaking_scan.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s14_symmetry_breaking.json,
S-15,S,model/multiorbital_robustness.py,"Activate the full s,p_1,p_2 orbital Hamiltonian.",declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/multiorbital_character_blocks.h5,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/multiorbital_robustness.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s15_multiorbital_robustness.json,
S-16,S,model/negative_control_trace_root.py,Construct a deliberate anisotropic example in the SAME model family where:,declared_by_master_instruction,execution_order_and_scientific_gates,FAIL_EXPECTED,b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/negative_control_trace_root.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/raw/negative_control_trace_root.parquet,results/b517afe774be43a1b885808807771069f4670585485bc48bbde3fb4c6f88e619/certificates/s16_trace_root_negative_control.json,
S-17,S,spectral/operational_magic_metrics.py,For one preregistered target calculate simultaneously:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/operational_magic.zarr,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/operational_magic_metrics.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s17_operational_magic_metrics.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-18,S,spectral/master_curve_collapse.py,Test normalized spectral collapse across multiple:,declared_by_master_instruction,execution_order_and_scientific_gates,INCONCLUSIVE,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/master_curve_complete_spectra.zarr,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/s18_master_curve_collapse,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s18_master_curve_collapse.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-19,S,spectral/geometry_spectrum_factorization.py,Numerically test the geometry × spectral-response exponent factorization.,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/s19_independent_derivative_inputs.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/geometry_spectrum_factorization.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s19_geometry_spectrum_factorization.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-20,S,spectral/magic_landscape.py,Compute the full,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CONVERGED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/magic_landscape.zarr,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/magic_landscape_flat.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s20_magic_landscape.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-21,S,spectral/bifurcation_certificates.sage,Locate possible folds/cusps and certify the required derivative conditions where they occur.,declared_by_master_instruction,execution_order_and_scientific_gates,INCONCLUSIVE,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/s21_landscape_derivatives.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/bifurcation_diagnostics.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s21_bifurcation_certificates.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-22,S,spectral/curvature_born_branch.py,Compare the same preregistered target between:,declared_by_master_instruction,execution_order_and_scientific_gates,INCONCLUSIVE,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/s22_branch_catalog.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/curvature_born_branch_comparison.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s22_curvature_born_branch.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
S-23,S,spectral/symmetry_vs_flatness.py,Separate:,declared_by_master_instruction,execution_order_and_scientific_gates,PASS_CERTIFIED,b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/raw/s23_symmetry_perturbation_responses.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/derived/symmetry_vs_flatness.parquet,results/b8722dc68f6c7ed04cc5d48023a0d7f52f1fe92153bb362cc57dc7144cdf17ad/certificates/s23_symmetry_vs_flatness.json,finite active-fiber scope; no frozen S-07/S-08 bulk promotion
